iter	RMSE
0	7096.768637
1	6904.964814
2	6722.94769
3	6557.939137
4	6400.169983
5	6247.645563
6	6100.159342
7	5975.164482
8	5833.915147
9	5699.086021
10	5565.783808
11	5447.03309
12	5336.194326
13	5222.117243
14	5106.027497
15	5000.796065
16	4896.654705
17	4789.937806
18	4699.562808
19	4608.920263
20	4514.977528
21	4439.276759
22	4360.07908
23	4276.750669
24	4198.741755
25	4124.104921
26	4052.133502
27	3989.915003
28	3931.771521
29	3868.112333
30	3804.36442
31	3746.843816
32	3700.726694
33	3648.651812
34	3601.175315
35	3550.83147
36	3504.95336
37	3460.168651
38	3415.873861
39	3377.712634
40	3339.772339
41	3299.773165
42	3265.471002
43	3229.627216
44	3194.150783
45	3163.327694
46	3136.793574
47	3103.677874
48	3077.422267
49	3055.987229
50	3041.313542
51	3014.979823
52	2991.71884
53	2970.176155
54	2955.09332
55	2933.99195
56	2909.313538
57	2885.318445
58	2870.528137
59	2856.656688
60	2844.557295
61	2827.533991
62	2812.110187
63	2796.937487
64	2780.976681
65	2765.194888
66	2746.925987
67	2739.953478
68	2722.452426
69	2707.167699
70	2692.460581
71	2679.759819
72	2667.681497
73	2656.672362
74	2645.025175
75	2632.460709
76	2621.034607
77	2610.876792
78	2599.444195
79	2588.599987
80	2579.29905
81	2571.807384
82	2564.817761
83	2554.745228
84	2547.435878
85	2543.093267
86	2539.49452
87	2528.086577
88	2520.145791
89	2514.553126
90	2505.797746
91	2499.679369
92	2492.811263
93	2485.816655
94	2478.501113
95	2472.296349
96	2464.143864
97	2461.614246
98	2455.335404
99	2450.088036
100	2445.618749
101	2440.191389
102	2433.954847
103	2430.310914
104	2424.881693
105	2420.442389
106	2413.926979
107	2406.943581
108	2406.411176
109	2403.284213
110	2401.28187
111	2396.81902
112	2392.829607
113	2388.287855
114	2380.638225
115	2376.598249
116	2373.664452
117	2368.002413
118	2366.481965
119	2362.019181
120	2360.374708
121	2355.572174
122	2349.527569
123	2345.068043
124	2341.848926
125	2337.793037
126	2336.649666
127	2335.929935
128	2335.572187
129	2331.486897
130	2328.182124
131	2325.799349
132	2321.00107
133	2315.48161
134	2312.499773
135	2310.58616
136	2308.036882
137	2303.623974
138	2299.651434
139	2296.085226
140	2294.865283
141	2294.646714
142	2293.291883
143	2291.710564
144	2291.569028
145	2288.912673
146	2285.606528
147	2282.848843
148	2281.747424
149	2279.394297
150	2272.322132
151	2272.23339
152	2271.889963
153	2271.327057
154	2268.769482
155	2266.591305
156	2263.264362
157	2261.411285
158	2256.163557
159	2254.437515
160	2250.059032
161	2250.000634
162	2246.413881
163	2245.678243
164	2243.357701
165	2241.440535
166	2239.955581
167	2237.163588
168	2233.672463
169	2233.672053
170	2232.831554
171	2229.867403
172	2226.616554
173	2224.843352
174	2223.592513
175	2222.561888
176	2218.073407
177	2217.828356
178	2215.174815
