iter	Passed	Remaining
0	71	85330
1	82	49328
2	102	40940
3	116	34765
4	119	28472
5	122	24332
6	135	23170
7	137	20534
8	147	19559
9	151	18020
10	162	17548
11	172	17111
12	182	16698
13	192	16306
14	203	16089
15	207	15387
16	219	15308
17	229	15094
18	232	14455
19	242	14297
20	257	14432
21	281	15087
22	307	15758
23	323	15875
24	333	15673
25	344	15558
26	358	15567
27	372	15594
28	382	15460
29	391	15268
30	401	15134
31	411	15028
32	429	15192
33	441	15141
34	452	15060
35	463	14997
36	469	14769
37	476	14563
38	482	14369
39	491	14256
40	502	14210
41	513	14165
42	520	14006
43	533	14023
44	545	14012
45	554	13922
46	568	13936
47	579	13919
48	591	13887
49	594	13679
50	596	13447
51	614	13560
52	639	13835
53	652	13856
54	657	13695
55	670	13696
56	683	13710
57	695	13691
58	709	13722
59	713	13559
60	715	13368
61	723	13286
62	735	13277
63	746	13249
64	760	13277
65	770	13237
66	783	13241
67	785	13069
68	796	13053
69	808	13047
70	818	13022
71	829	13002
72	840	12982
73	853	12980
74	864	12966
75	875	12947
76	887	12948
77	893	12856
78	908	12884
79	919	12878
80	940	12989
81	961	13109
82	966	13004
83	976	12976
84	987	12951
85	989	12818
86	991	12680
87	1003	12679
88	1014	12669
89	1031	12722
90	1042	12699
91	1052	12676
92	1063	12659
93	1078	12688
94	1103	12830
95	1133	13037
96	1151	13097
97	1157	13020
98	1181	13136
99	1208	13296
100	1241	13506
101	1268	13650
102	1295	13800
103	1322	13940
104	1349	14072
105	1359	14031
106	1374	14043
107	1387	14027
108	1389	13909
109	1401	13888
110	1403	13766
111	1419	13785
112	1429	13755
113	1440	13725
114	1452	13699
115	1462	13670
116	1475	13656
117	1485	13624
118	1487	13514
119	1499	13498
120	1511	13477
121	1522	13452
122	1536	13449
123	1546	13420
124	1560	13423
125	1571	13396
126	1573	13290
127	1574	13186
128	1578	13108
129	1590	13094
130	1603	13084
131	1618	13096
132	1629	13073
133	1643	13075
134	1654	13052
135	1656	12962
136	1669	12953
137	1680	12929
138	1696	12948
139	1709	12940
140	1711	12854
141	1716	12786
142	1726	12763
143	1739	12757
144	1741	12668
145	1751	12644
146	1764	12639
147	1775	12623
148	1777	12536
149	1787	12515
150	1799	12498
151	1800	12416
152	1802	12336
153	1804	12258
154	1817	12250
155	1829	12242
156	1840	12230
157	1853	12222
158	1863	12201
159	1876	12195
160	1888	12188
161	1889	12105
162	1902	12105
163	1913	12087
164	1925	12075
165	1930	12027
166	1944	12026
167	1956	12018
168	1968	12011
169	1970	11936
170	1980	11917
171	1992	11909
172	2004	11901
173	2023	11931
174	2035	11922
175	2037	11855
176	2051	11854
177	2055	11799
178	2068	11798
179	2081	11793
180	2093	11788
181	2104	11772
182	2119	11777
183	2131	11772
184	2155	11823
185	2180	11886
186	2202	11930
187	2216	11933
188	2229	11923
189	2243	11924
190	2261	11948
191	2282	11985
192	2295	11976
193	2307	11963
194	2317	11942
195	2318	11873
196	2329	11859
197	2341	11847
198	2342	11781
199	2343	11716
200	2355	11706
201	2356	11644
202	2368	11634
203	2381	11625
204	2398	11640
205	2426	11707
206	2440	11707
207	2453	11699
208	2470	11715
209	2486	11723
210	2513	11782
211	2545	11861
212	2556	11848
213	2568	11832
214	2582	11831
215	2600	11844
216	2627	11901
217	2643	11907
218	2655	11896
219	2672	11902
220	2683	11886
221	2696	11877
222	2707	11862
223	2718	11846
224	2732	11840
225	2743	11824
226	2756	11813
227	2767	11800
228	2780	11787
229	2793	11779
230	2805	11766
231	2815	11749
232	2828	11738
233	2840	11727
234	2852	11715
235	2864	11701
236	2879	11699
237	2889	11678
238	2901	11665
239	2915	11662
240	2926	11645
241	2940	11640
242	2941	11584
243	2953	11572
244	2965	11561
245	2975	11540
246	2988	11530
247	3001	11522
248	3014	11513
249	3027	11504
250	3038	11486
251	3049	11473
252	3061	11460
253	3074	11451
254	3086	11439
255	3098	11425
256	3110	11413
257	3119	11390
258	3135	11390
259	3145	11373
260	3159	11368
261	3172	11357
262	3186	11354
263	3199	11343
264	3213	11338
265	3225	11325
266	3236	11309
267	3248	11296
268	3259	11279
269	3271	11269
270	3283	11254
271	3295	11242
272	3307	11229
273	3317	11212
274	3330	11201
275	3343	11195
276	3356	11184
277	3368	11171
278	3380	11160
279	3391	11144
280	3405	11137
281	3421	11139
282	3432	11120
283	3444	11110
284	3458	11103
285	3469	11086
286	3480	11072
287	3491	11057
288	3503	11042
289	3512	11021
290	3530	11028
291	3546	11026
292	3559	11018
293	3572	11010
294	3585	11000
295	3600	10994
296	3612	10984
297	3626	10978
298	3637	10961
299	3649	10948
300	3660	10931
301	3671	10916
302	3683	10904
303	3693	10886
304	3708	10882
305	3720	10869
306	3731	10855
307	3744	10844
308	3756	10831
309	3767	10815
310	3779	10802
311	3788	10782
312	3799	10767
313	3811	10753
314	3822	10738
315	3833	10724
316	3843	10706
317	3855	10694
318	3866	10678
319	3878	10667
320	3889	10650
321	3901	10638
322	3913	10625
323	3923	10607
324	3936	10599
325	3947	10583
326	3960	10573
327	3971	10557
328	3981	10539
329	3992	10524
330	4001	10505
331	4013	10492
332	4025	10480
333	4037	10469
334	4050	10457
335	4063	10449
336	4075	10437
337	4087	10424
338	4098	10409
339	4109	10393
340	4121	10383
341	4136	10376
342	4148	10364
343	4159	10350
344	4171	10337
